year,week_of_year,calls_offered_last_year,calls_offered_avg_last_year,year,week_of_year,calls_handled,calls_abandoned,avg_speed_answer,avg_handle_time,avg_talk,avg_acw,service_level,avg_abandon_time,max_wait_time,day_of_year,day_of_week,calls_offered_last_year,calls_offered_avg_last_year,month_August,month_December,month_February,month_January,month_July,month_June,month_March,month_May,month_November,month_October,month_September,week_day_Monday,week_day_Saturday,week_day_Sunday,week_day_Thursday,week_day_Tuesday,week_day_Wednesday,calls_offered_actual,calls_offered_predicted
2023,19,1081.0,0.09433962264150944,2023,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,133,5,1081.0,0.09433962264150944,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,0.0,-0.3893787567885454
2022,32,0.0,0.0,2022,32,951.0,140.0,191.0,620.0,534.5,85.545,64.21,343.0,2702.0,216,3,0.0,0.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,1094.0,1099.473627519235
2023,10,1527.0,1205.7115384615386,2023,10,1135.0,22.0,56.5,573.0,491.0,81.96,90.65,129.5,720.0,68,3,1527.0,1205.7115384615386,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,1173.0,1169.6594650190343
2023,14,0.0,1358.25,2023,14,1298.0,22.0,38.0,558.0,483.5,74.345,93.37,74.5,371.0,93,0,0.0,1358.25,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,1334.0,1333.957849794157
2024,11,0.0,0.03773584905660377,2024,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70,6,0.0,0.03773584905660377,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,0.0,0.582012982962965
2022,31,0.0,0.0,2022,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,211,5,0.0,0.0,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,0.0,-0.2624501899709628
2024,20,994.0,1060.1153846153845,2024,20,698.0,88.0,169.0,820.0,713.5,107.0,0.73475,936.5,2579.5,136,2,994.0,1060.1153846153845,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,805.0,793.5809894294804
2022,15,0.0,0.0,2022,15,1455.0,38.0,85.5,592.5,506.0,87.18,84.24,115.0,757.5,97,3,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,1500.0,1505.2350266408057
2024,17,0.0,0.03773584905660377,2024,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112,6,0.0,0.03773584905660377,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0.0,0.005194807478005714
2024,32,1152.0,1060.1153846153845,2024,32,739.0,5.0,24.0,806.0,728.0,78.0,0.9486,147.0,891.0,220,2,1152.0,1060.1153846153845,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,759.0,751.0979781561139
